ID	Sito	Domain	Favicon	URL base	URL pattern	Version	Active	Created	Updated
1	Only Oroscopo	https://onlyoroscopo.com/	https://onlyoroscopo.com/wp-content/uploads/2020/12/cropped-FDavicon-32x32.png	https://onlyoroscopo.com/	/oroscopo-settimanale-{sign}/	1	True	2025-09-24 15:27:35	2025-09-24 15:27:35
2	Corriere della Sera (Paolo Fox)	https://www.corriere.it/	https://www.corriere.it/favicon.ico	https://www.corriere.it/oroscopo/settimana/	/oroscopo/settimana/{sign}/	1	True	2025-09-24 15:29:30	2025-09-24 15:29:30
3	Branko - SuperGuida TV	superguidatv.it	https://www.superguidatv.it/favicon.ico	https://www.superguidatv.it	/oroscopo-branko-previsioni-settimana-dal-{start_day}-al-{end_day}-{month}-{year}/	1	True	2025-09-24 15:32:21	2025-09-24 15:32:21
4	Cosmopolitan	cosmopolitan.com	https://www.cosmopolitan.com/it/apple-touch-icon.png	https://www.cosmopolitan.com/it	/oroscopo/oroscopo-settimana/	1	True	2025-09-24 15:36:36	2025-09-24 15:36:36
5	Webboh	webboh.it	https://www.webboh.it/apple-touch-icon.png	https://www.webboh.it	/oroscopo-settimana/	1	True	2025-09-24 15:39:54	2025-09-24 15:39:54
6	Sky TG24	tg24.sky.it	https://tg24.sky.it/content/dam/ske/tg24/it/homepage/loghi/sky-tg24-fb.jpg	https://tg24.sky.it	/lifestyle/oroscopo/settimana	1	True	2025-09-24 15:41:16	2025-09-24 15:41:16
7	Marie Claire	marieclaire.it	https://www.marieclaire.it/apple-touch-icon.png	https://www.marieclaire.it	/oroscopo/	1	True	2025-09-24 15:43:38	2025-09-24 15:43:38
8	IO Donna	iodonna.it	https://www.iodonna.it/favicon.ico	https://www.iodonna.it	/oroscopo/settimana/{sign}/	1	True	2025-09-24 15:44:44	2025-09-24 15:44:44
9	Virgilio	virgilio.it	https://www.virgilio.it/favicon.ico	https://www.virgilio.it	/oroscopo/settimanale/{sign}/	1	True	2025-09-24 15:45:43	2025-09-24 15:45:43
10	Elle	elle.com	https://www.elle.com/favicon.ico	https://www.elle.com/it/oroscopo/	/it/oroscopo/	1	True	2025-09-24 15:47:54	2025-09-24 15:47:54
11	Internazionale	internazionale.it	https://www.internazionale.it/apple-touch-icon.png	https://www.internazionale.it	/oroscopo/{start_day}-{end_day}-{month}-{year}	1	True	2025-09-24 15:49:49	2025-09-24 15:49:49
12	Starbene	starbene.it	https://www.starbene.it/favicon.ico	https://www.starbene.it	/oroscopo/previsioni-settimana-{start_day}-{end_day}-{month}-{year}/	1	True	2025-09-24 15:50:51	2025-09-24 15:50:51
13	Repubblica (Settimanale)	d.repubblica.it	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/La_Repubblica_Logo.svg/300px-La_Repubblica_Logo.svg.png	https://d.repubblica.it	/oroscopo/oroscopo-della-settimana/	1.2	True	2025-09-24 15:52:28	2025-09-24 15:52:28
14	Sorrisi	sorrisi.com	https://www.sorrisi.com/favicon.ico	https://www.sorrisi.com	/lifestyle/oroscopo/oroscopo-della-settimana-dal-{start_day}-al-{end_day}-{month}/	1	True	2025-09-24 15:53:16	2025-09-24 15:53:16
15	Alfemminile	alfemminile.com	https://www.alfemminile.com/favicon.ico	https://www.alfemminile.com	/astrologia/oroscopo/oroscopo-settimanale-dal-{week_start_day}-al-{week_end_day}-{week_end_month}-{year}/	1	True	2025-09-24 15:53:58	2025-09-24 15:53:58
16	Simon and the Stars	simonandthestars.it	https://www.simonandthestars.it/favicon.ico	https://www.simonandthestars.it	/{sign}-oroscopo-dal-{start_day}-al-{end_day}-{month}-{year}/	1	True	2025-09-24 15:54:42	2025-09-24 15:54:42
