"id","name","domain","logo_url","base_url","url_pattern","reliability_score","is_active","created_at","updated_at"
"1","Only Oroscopo","https://onlyoroscopo.com/","https://onlyoroscopo.com/wp-content/uploads/2020/12/cropped-FDavicon-32x32.png","https://onlyoroscopo.com/","/oroscopo-settimanale-{sign}/","3.50","false","""2025-10-06T10:23:21.810Z""","""2025-10-06T10:23:21.810Z"""
"2","Paolo Fox - Corriere","corriere.it","https://cdn.brandfetch.io/idXZ1tQX9C/w/400/h/400/theme/dark/icon.jpeg?c=1bxid64Mup7aczewSAYMX&t=1756807215678","https://www.corriere.it/oroscopo/settimana","/{sign}/","3.50","true","""2025-10-06T10:23:22.107Z""","""2025-10-06T10:23:22.107Z"""
"3","Branko - SuperGuida TV","superguidatv.it","https://www.superguidatv.it/favicon.ico","https://www.superguidatv.it","/oroscopo-branko-previsioni-settimana-dal-{start_day}-al-{end_day}-{month}-{year}/","3.50","true","""2025-10-06T10:23:22.283Z""","""2025-10-06T10:23:22.283Z"""
"4","Cosmopolitan","cosmopolitan.com","https://www.cosmopolitan.com/it/apple-touch-icon.png","https://www.cosmopolitan.com/it","/oroscopo/oroscopo-settimana/","3.50","true","""2025-10-06T10:23:22.462Z""","""2025-10-06T10:23:22.462Z"""
"5","Webboh","webboh.it","https://www.webboh.it/apple-touch-icon.png","https://www.webboh.it","/oroscopo-settimana-{start_day}-{end_day}-{month}/","3.50","true","""2025-10-06T10:23:22.639Z""","""2025-10-06T10:23:22.639Z"""
"6","Sky TG24","tg24.sky.it","https://tg24.sky.it/content/dam/ske/tg24/it/homepage/loghi/sky-tg24-fb.jpg","https://tg24.sky.it","/lifestyle/oroscopo/settimana","3.50","true","""2025-10-06T10:23:22.815Z""","""2025-10-06T10:23:22.815Z"""
"7","Marie Claire","marieclaire.it","https://www.marieclaire.it/apple-touch-icon.png","https://www.marieclaire.it","coolmix/{random_number}/oroscopo-settimana-di-marie-claire-dal-{start_day}-al-{end_day}-{month}/","3.50","true","""2025-10-06T10:23:22.992Z""","""2025-10-06T10:23:22.992Z"""
"8","IO Donna","iodonna.it","https://www.iodonna.it/favicon.ico","https://www.iodonna.it","/oroscopo/settimana/{sign}/","3.50","true","""2025-10-06T10:23:23.168Z""","""2025-10-06T10:23:23.168Z"""
"9","Virgilio","virgilio.it","https://www.virgilio.it/favicon.ico","https://www.virgilio.it","/oroscopo/settimanale/{sign}/","3.50","true","""2025-10-06T10:23:23.346Z""","""2025-10-06T10:23:23.346Z"""
"11","Internazionale","internazionale.it","https://www.internazionale.it/apple-touch-icon.png","https://www.internazionale.it","/oroscopo/{start_day}-{end_day}-{month}-{year}","3.50","false","""2025-10-06T10:23:23.697Z""","""2025-10-06T10:23:23.697Z"""
"12","Starbene","starbene.it","https://www.starbene.it/favicon.ico","https://www.starbene.it","/oroscopo/previsioni-settimana-{start_day}-{end_day}-{month}-{year}/","3.50","true","""2025-10-06T10:23:23.874Z""","""2025-10-06T10:23:23.874Z"""
"13","D Repubblica","d.repubblica.it","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/La_Repubblica_Logo.svg/300px-La_Repubblica_Logo.svg.png","https://d.repubblica.it","/oroscopo/oroscopo-della-settimana/{year}/{mm}/{dd}/news/oroscopo_settimana_dal_{start_day}_al_{end_day}_{month}_{year","3.50","true","""2025-10-06T10:23:24.049Z""","""2025-10-06T10:23:24.049Z"""
"14","Sorrisi","sorrisi.com","https://www.sorrisi.com/favicon.ico","https://www.sorrisi.com","/lifestyle/oroscopo/oroscopo-della-settimana-dal-{start_day}-al-{end_day}-{month}/","3.50","false","""2025-10-06T10:23:24.225Z""","""2025-10-06T10:23:24.225Z"""
"15","alFemminile","alfemminile.com","https://www.alfemminile.com/favicon.ico","https://www.alfemminile.com","/astrologia/oroscopo/oroscopo-settimanale-dal-{week_start_day}-al-{week_end_day}-{week_end_month}-{year}/","3.50","true","""2025-10-06T10:23:24.415Z""","""2025-10-06T10:23:24.415Z"""
"16","Simon and the Stars","simonandthestars.it","https://www.simonandthestars.it/favicon.ico","https://www.simonandthestars.it","/{sign}-oroscopo-dal-{start_day}-al-{end_day}-{month}-{year}/","3.50","true","""2025-10-06T10:23:24.597Z""","""2025-10-06T10:23:24.597Z"""
